pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist
63,44822489,4176994573,2023-01-05 12:28:59,,0 days 00:48:28,2023-01-05 13:17:27,,False,,2908
64,1435362514,1413911024,2023-01-05 12:29:04,,0 days 00:46:12,2023-01-05 13:15:16,,False,,2772
65,44770471,5315003499,2023-01-05 12:29:50,,0 days 00:44:51,2023-01-05 13:14:41,,False,,2691
66,1413910851,1679761156,2023-01-05 12:30:45,,0 days 00:11:12,2023-01-05 12:41:57,,False,,672
67,44739628,4261101530,2023-01-05 12:31:12,,0 days 00:55:07,2023-01-05 13:26:19,,False,,3307
68,44823645,1413910857,2023-01-05 12:31:37,,0 days 00:16:24,2023-01-05 12:48:01,,False,,984
69,44868826,260123525,2023-01-05 12:31:41,,0 days 00:52:53,2023-01-05 13:24:34,,False,,3173
70,44839599,44847480,2023-01-05 12:31:51,,0 days 00:34:20,2023-01-05 13:06:11,,False,,2060
71,44736833,559635307,2023-01-05 12:32:22,,0 days 00:49:51,2023-01-05 13:22:13,,False,,2991
72,1608998231,44844498,2023-01-05 12:33:42,,0 days 00:55:42,2023-01-05 13:29:24,,False,,3342
73,1519890051,44813101,2023-01-05 12:35:35,,0 days 00:42:55,2023-01-05 13:18:30,,False,,2575
74,44822068,4349049083,2023-01-05 12:36:54,,0 days 00:17:14,2023-01-05 12:54:08,,False,,1034
75,2598004622,1436427094,2023-01-05 12:37:55,,0 days 00:21:06,2023-01-05 12:59:01,,False,,1266
76,44763127,44844874,2023-01-05 12:38:02,,0 days 00:43:29,2023-01-05 13:21:31,,False,,2609
77,44838367,44732018,2023-01-05 12:39:24,,0 days 01:15:43,2023-01-05 13:55:07,,False,,4543
78,1571087552,44813589,2023-01-05 12:39:32,,0 days 00:34:35,2023-01-05 13:14:07,,False,,2075
79,44819251,3377240340,2023-01-05 12:40:05,,0 days 00:13:06,2023-01-05 12:53:11,,False,,786
80,44857685,44831422,2023-01-05 12:40:38,,0 days 00:24:42,2023-01-05 13:05:20,,False,,1482
81,1436427141,44903295,2023-01-05 12:41:58,,0 days 00:30:08,2023-01-05 13:12:06,,False,,1808
82,44796534,44873994,2023-01-05 12:44:27,,0 days 00:49:55,2023-01-05 13:34:22,,False,,2995
83,3581094493,44826459,2023-01-05 12:44:32,,0 days 00:08:56,2023-01-05 12:53:28,,False,,536
84,3452720263,1568976500,2023-01-05 12:44:32,,0 days 00:27:17,2023-01-05 13:11:49,,False,,1637
85,1830076522,1566353714,2023-01-05 12:45:17,,0 days 00:15:08,2023-01-05 13:00:25,,False,,908
86,1435362497,630748795,2023-01-05 12:45:20,,0 days 00:03:54,2023-01-05 12:49:14,,False,,234
87,44750038,484468704,2023-01-05 12:45:55,,0 days 00:34:02,2023-01-05 13:19:57,,False,,2042
88,44844082,1391417267,2023-01-05 12:46:35,,0 days 00:21:58,2023-01-05 13:08:33,,False,,1318
89,5008459646,4217824171,2023-01-05 12:47:48,,0 days 00:55:35,2023-01-05 13:43:23,,False,,3335
90,1846605950,1584596506,2023-01-05 12:49:20,,0 days 01:21:23,2023-01-05 14:10:43,,False,,4883
91,44891913,1566353714,2023-01-05 12:49:57,,0 days 01:32:21,2023-01-05 14:22:18,,False,,5541
92,44838049,44846571,2023-01-05 12:50:11,,0 days 00:49:37,2023-01-05 13:39:48,,False,,2977
93,2560427063,2411146195,2023-01-05 12:50:33,,0 days 01:17:38,2023-01-05 14:08:11,,False,,4658
94,44830993,1679761048,2023-01-05 12:54:10,,0 days 00:45:03,2023-01-05 13:39:13,,False,,2703
95,310785561,3377240348,2023-01-05 12:54:23,,0 days 01:07:19,2023-01-05 14:01:42,,False,,4039
96,4986579684,44735955,2023-01-05 12:54:41,,0 days 01:26:35,2023-01-05 14:21:16,,False,,5195
97,4244384215,5913893939,2023-01-05 12:55:02,,0 days 01:03:36,2023-01-05 13:58:38,,False,,3816
98,2381861261,44846575,2023-01-05 12:55:11,,0 days 01:00:26,2023-01-05 13:55:37,,False,,3626
99,44723198,626010019,2023-01-05 12:55:18,,0 days 00:36:33,2023-01-05 13:31:51,,False,,2193
